metro_station,latitude,longitude,metro_line,category_name,venues
aacd-servidor,-23.597824600000003,-46.652374,['lilas'],Arts & Entertainment,13
aacd-servidor,-23.597824600000003,-46.652374,['lilas'],College & University,71
aacd-servidor,-23.597824600000003,-46.652374,['lilas'],Event,3
aacd-servidor,-23.597824600000003,-46.652374,['lilas'],Food,110
aacd-servidor,-23.597824600000003,-46.652374,['lilas'],Nightlife Spot,23
aacd-servidor,-23.597824600000003,-46.652374,['lilas'],Outdoors & Recreation,76
aacd-servidor,-23.597824600000003,-46.652374,['lilas'],Professional & Other Places,121
aacd-servidor,-23.597824600000003,-46.652374,['lilas'],Residence,11
aacd-servidor,-23.597824600000003,-46.652374,['lilas'],Shop & Service,62
aacd-servidor,-23.597824600000003,-46.652374,['lilas'],Travel & Transport,23
adolfo-pinheiro,-23.6500726,-46.7042057,['lilas'],Arts & Entertainment,8
adolfo-pinheiro,-23.6500726,-46.7042057,['lilas'],College & University,42
adolfo-pinheiro,-23.6500726,-46.7042057,['lilas'],Event,0
adolfo-pinheiro,-23.6500726,-46.7042057,['lilas'],Food,96
adolfo-pinheiro,-23.6500726,-46.7042057,['lilas'],Nightlife Spot,11
adolfo-pinheiro,-23.6500726,-46.7042057,['lilas'],Outdoors & Recreation,33
adolfo-pinheiro,-23.6500726,-46.7042057,['lilas'],Professional & Other Places,89
adolfo-pinheiro,-23.6500726,-46.7042057,['lilas'],Residence,14
adolfo-pinheiro,-23.6500726,-46.7042057,['lilas'],Shop & Service,89
adolfo-pinheiro,-23.6500726,-46.7042057,['lilas'],Travel & Transport,15
alto-da-boa-vista,-23.641625100000002,-46.6994344,['lilas'],Arts & Entertainment,2
alto-da-boa-vista,-23.641625100000002,-46.6994344,['lilas'],College & University,24
alto-da-boa-vista,-23.641625100000002,-46.6994344,['lilas'],Event,2
alto-da-boa-vista,-23.641625100000002,-46.6994344,['lilas'],Food,71
alto-da-boa-vista,-23.641625100000002,-46.6994344,['lilas'],Nightlife Spot,8
alto-da-boa-vista,-23.641625100000002,-46.6994344,['lilas'],Outdoors & Recreation,30
alto-da-boa-vista,-23.641625100000002,-46.6994344,['lilas'],Professional & Other Places,90
alto-da-boa-vista,-23.641625100000002,-46.6994344,['lilas'],Residence,15
alto-da-boa-vista,-23.641625100000002,-46.6994344,['lilas'],Shop & Service,65
alto-da-boa-vista,-23.641625100000002,-46.6994344,['lilas'],Travel & Transport,9
alto-do-ipiranga,-23.6022366,-46.6124857,['verde'],Arts & Entertainment,10
alto-do-ipiranga,-23.6022366,-46.6124857,['verde'],College & University,23
alto-do-ipiranga,-23.6022366,-46.6124857,['verde'],Event,2
alto-do-ipiranga,-23.6022366,-46.6124857,['verde'],Food,68
alto-do-ipiranga,-23.6022366,-46.6124857,['verde'],Nightlife Spot,12
alto-do-ipiranga,-23.6022366,-46.6124857,['verde'],Outdoors & Recreation,43
